HID;PID;TIME_PERIOD;REF_AREA;HHC1;HHC2;HHC3;HHC3A;HHC3B;HHC4;HHC5;INDC1;INDC_RM_18_1;INDC_RM_18_2;INDC_RM_18_3;INDC_RM_18_4;INDC_RM_18_5;INDC_RM_18_6;INDC_RM_18_7;INDC_RM_18_8;INDC_RM_18_9;INDC_RM_18_10;INDC_RM_18_11;INDC_RM_18_12;INDC_RM_18_13;INDC_RM_18_14;INDC_RM_18_15;INDC_RM_18_16;INDC_RM_18_17;INDC_RM_18_18;INDC_RM_18_19;HHC6;HHC7;HHC8;HHC12;HHC12A;HHC12B;HHC12C;HHC12E;HHC12F;HHC12G;HHC9;HHC9A;HHC9B;HH9C;HH9D;HH9E;HH9F;HH9G;HH9H;HH9I;HH9J;HH9K;HH10;HH10A;HH10B;HH10C;HH10D;HH10E;HH10F;HH10G;HH10H;HHC11A;HH11A_1;HH11A_2;HHC11B;HH11B_1;HH11B_2;HHC11C;HH11C_1;HH11C_2;HHC11D;HH11D_1;HH11D_2;HHC11E;HH11E_1;HH11E_2;HHC11F;HH11F_1;HH11F_2;IND1;IND2;IND3;IND4;IND3_1;IND3_2;IND4_1;IND4_2;IND4_3;INDC3;INDC4;IND5;IND7_1;IND7_2;INDC5;IND8_1;IND8_2;IND8;INDC6;IND6_1;IND10;IND11;IND12;IND13;IND14;IDN15;IND15_2;IND16;IND16_2;IND17;IND17_2;IND17_3;IND17_4;IND18;IND19;INDC20;IND20;IND20_2;IND35;IND36;IND37;IND38;IND34_E;IND35_E;IND34_H;IND35_H;IND36_H;IND37_H;IND38_H;INDC7;INDC7_2;IND21;IND21_2;IND21_3;IND22;IND22_2;IND23_1;IND23_2;IND23_3;IND23_4;IND24;IND24_2;IND24_3;IND24_4;IND24_5;IND24_6;IND24_7;IND24_8;IND24_9;IND51;IND52;WGHT2;HHC12_imp;HHC12A_imp;HHC12B_imp;HHC12C_imp;HHC12E_imp;HHC12F_imp;HHC12G_imp;HHC9_imp;HHC9B_imp;HHC9A_imp;HHC11A_imp;HHC11C_imp;HHC11D_imp;IND15_imp;IND15_2_imp;IND19_imp;INDC20_imp;IND20_2_imp;IND35_imp;IND36_imp;IND37_imp;IND38_imp;IND34_E_imp;IND35_E_imp;IND34_H_imp;IND35_H_imp;IND36_H_imp;IND37_H_imp;IND38_H_imp;IND21_2_imp;IND21_3_imp;IND22_imp;IND24_imp;IND24_2_imp;IND24_3_imp;IND24_4_imp;IND24_5_imp;IND24_6_imp;IND24_7_imp;IND24_8_imp;IND24_9_imp
10002;1;2020;AT;5;5;0;0;0;0;4;1;0;11;30;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;4;1;-1;-1;-1;-1;-1;-1;-1;1;1;333,33333333333297;1;2;1;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;9;1;1;1;1;AT;3;4;2;2;1;-1;-1;1;85;23;35,0;3;4;1;2;6;3;3;1;30;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;16;2;2;3;2;-1;3;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1842,988234939250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10002;2;2020;AT;5;5;0;0;0;0;4;1;11;0;21;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;4;1;-1;-1;-1;-1;-1;-1;-1;1;1;333,33333333333297;1;2;1;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;10;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;1;61;60,0;2;7;-1;1;0;1;3;2;-1;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;19;3;1;2;2;-1;3;4;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;2;1842,988234939250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10021;1;2020;AT;5;3;0;0;0;2;4;1;0;11;51;51;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;2;4;1400,00000000000000;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;10;1;1;1;1;AT;1;2;1;-1;-1;-1;-1;1;85;22;26,0;3;3;1;2;5;3;3;1;30;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;12;2;1;3;2;-1;4;3;4;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;2371,974841568520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10021;2;2020;AT;5;3;0;0;0;2;4;1;11;0;52;51;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;2;4;1400,00000000000000;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;7;1;1;1;1;AT;1;2;1;-1;-1;-1;-1;1;86;32;30,0;3;4;1;2;5;3;3;1;34;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;12;1;2;3;2;-1;3;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;2371,974841568520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10040;1;2020;AT;4;4;0;0;0;1;3;1;0;11;51;21;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;4;-1;-1;-1;-1;-1;-1;-1;-1;3;4;1800,00000000000000;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;1;1;2;-1;-1;-1;2;-1;-1;2;-1;-1;3;16;30,0;2;-1;-1;2;-1;-1;2;8;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;64;24;35,0;3;3;1;2;1;2;3;1;33;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;5;1;2;3;2;-1;4;2;3;4;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1667,623709118350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10040;2;2020;AT;4;4;0;0;0;1;3;1;11;0;51;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;4;-1;-1;-1;-1;-1;-1;-1;-1;3;4;1800,00000000000000;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;1;1;2;-1;-1;-1;2;-1;-1;2;-1;-1;3;16;30,0;2;-1;-1;2;-1;-1;1;9;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;71;21;40,0;3;3;1;1;0;2;3;1;25;1;1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;2;3;2;-1;5;1;4;4;3;-1;-1;-1;-1;-1;-1;-1;-1;12;2;1667,623709118350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10065;1;2020;AT;3;6;0;0;0;0;3;1;0;11;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;3;1;-1;-1;-1;-1;-1;-1;-1;5;5;2750,00000000000000;1;2;2;2;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;11;1;1;1;1;AT;1;1;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;60;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;8;1;2;3;2;-1;3;2;4;4;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1813,330665953340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10065;2;2020;AT;3;6;0;0;0;0;3;1;11;0;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;3;1;-1;-1;-1;-1;-1;-1;-1;5;5;2750,00000000000000;1;2;2;2;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;10;1;1;1;1;AT;1;1;1;-1;-1;-1;-1;1;30;13;40,0;3;3;1;1;0;2;1;1;30;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8;14;2;2;3;2;-1;3;2;4;5;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1813,330665953340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10076;1;2020;AT;2;10;0;0;0;0;2;1;0;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;5;4;2533,33333333332985;1;2;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;14;1;1;1;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-9;-1;-1;-1;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;19;1;2;3;2;-1;5;1;5;4;3;-1;-1;-1;-1;-1;-1;-1;-1;12;2;552,019471920706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10076;2;2020;AT;2;10;0;0;0;0;2;1;11;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;5;4;2533,33333333332985;1;2;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;8;1;1;1;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;1;2;3;2;-1;3;2;4;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;552,019471920706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10083;1;2020;AT;2;15;0;0;0;0;2;1;0;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;3;3;1666,66666666666993;1;1;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;13;1;1;1;1;AT;1;2;1;-1;-1;-1;-1;1;96;51;8,0;3;2;1;2;8;1;3;1;5;2;-1,0;-1;-1;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;2;3;2;-1;4;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1346,662156931600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10083;2;2020;AT;2;15;0;0;0;0;2;1;11;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;3;3;1666,66666666666993;1;1;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;14;1;1;1;1;AT;1;2;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-9;-1;-1;-1;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;2;3;2;-1;5;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1346,662156931600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10098;1;2020;AT;2;10;0;0;0;0;2;1;0;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;1;1;666,66666666666697;2;1;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;10;1;1;1;1;AT;1;1;1;-1;-1;-1;-1;1;15;75;65,0;2;7;-1;1;0;1;3;2;-1;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;2;3;2;-1;4;2;4;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;759,598245928273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10098;2;2020;AT;2;10;0;0;0;0;2;1;11;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;1;1;666,66666666666697;2;1;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;8;1;1;1;1;AT;1;1;1;-1;-1;-1;-1;1;56;94;32,0;3;2;1;2;7;3;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;2;3;2;-1;3;2;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;759,598245928273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10106;1;2020;AT;4;2;1;1;0;1;2;1;0;12;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;1;-1;3;3;-1;4;4;2319,04761904762017;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;7;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;32;33;20,0;3;3;1;2;1;2;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;9;1;2;3;2;-1;2;4;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;398,530563008715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10106;2;2020;AT;4;2;1;1;0;1;2;1;12;0;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;1;-1;3;3;-1;4;4;2319,04761904762017;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;5;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;68;31;45,0;3;3;1;1;0;2;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;19;1;2;3;2;-1;2;3;3;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;398,530563008715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10109;1;2020;AT;2;13;0;0;0;0;2;1;0;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;3;3;1600,00000000000000;2;2;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;12;1;1;1;1;AT;2;3;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;2;3;2;-1;4;2;5;5;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;658,691839774307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10109;2;2020;AT;2;13;0;0;0;0;2;1;12;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;3;3;1600,00000000000000;2;2;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;11;1;1;1;1;AT;2;3;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;2;3;2;-1;5;2;4;5;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;658,691839774307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10139;1;2020;AT;3;1;1;1;1;0;2;1;0;11;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;2;-1;3;3;1;1;1;4;4;2000,00000000000000;1;2;2;2;2;2;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;3;10;170;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;7;1;1;1;1;AT;2;3;1;-1;-1;-1;-1;1;86;22;16,0;3;3;1;2;5;2;3;1;27;1;8,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;12;1;2;3;2;-1;3;3;3;4;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;472,957940133269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10139;2;2020;AT;3;1;1;1;1;0;2;1;11;0;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;2;-1;3;3;1;1;1;4;4;2000,00000000000000;1;2;2;2;2;2;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;3;10;170;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;5;1;1;1;1;AT;2;3;1;-1;-1;-1;-1;1;2;62;40,0;3;2;1;1;0;2;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;2;3;2;-1;4;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;2;472,957940133269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10147;1;2020;AT;2;15;0;0;0;0;2;1;0;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;-1;-1;-1;-1;-1;-1;-1;-1;2;2;1200,00000000000000;2;2;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;13;1;1;1;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;2;2;2;2;-1;4;3;3;4;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;2397,820487281580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10147;2;2020;AT;2;15;0;0;0;0;2;1;11;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;-1;-1;-1;-1;-1;-1;-1;-1;2;2;1200,00000000000000;2;2;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;14;1;1;1;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-9;-1;-1;-1;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;3;2;2;2;-1;4;2;4;4;3;-1;-1;-1;-1;-1;-1;-1;-1;21;2;2397,820487281580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10158;1;2020;AT;3;3;0;0;0;1;2;1;0;11;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;5;4;2500,00000000000000;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;8;1;1;1;1;AT;2;3;1;-1;-1;-1;-1;1;46;41;25,0;3;3;1;2;1;3;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;2;3;1;-1;5;2;4;4;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;522,895078350858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10158;2;2020;AT;3;3;0;0;0;1;2;1;11;0;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;5;4;2500,00000000000000;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;9;1;1;1;1;AT;2;3;1;-1;-1;-1;-1;1;26;31;38,5;3;3;1;1;0;3;3;1;30;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;2;3;1;-1;3;2;5;5;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;522,895078350858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10163;1;2020;AT;2;15;0;0;0;0;2;1;0;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;-1;-1;-1;-1;-1;-1;-1;-1;5;4;3200,00000000000000;2;2;2;1;2;1;2;2;1;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;13;2;2;2;3;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8;14;1;2;3;2;-1;5;1;5;5;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;537,846233432203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10163;2;2020;AT;2;15;0;0;0;0;2;1;12;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;-1;-1;-1;-1;-1;-1;-1;-1;5;4;3200,00000000000000;2;2;2;1;2;1;2;2;1;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;14;2;2;2;2;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-9;-1;-1;-1;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;8;2;2;3;2;-1;4;1;5;5;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;537,846233432203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
